Authors,Title,Abstract,DOI
"Tselentis, Dimitrios I.; Vlahogianni, Eleni I.; Yannis, George",Driving safety efficiency benchmarking using smartphone data,"This paper aims to provide a methodological framework for the comparative evaluation of driving safety efficiency based on Data Envelopment Analysis (DEA). The analysis considers each driver as a Decision Making Unit (DMU) and aims to provide a relative safety efficiency measure to compare different drivers based on their driving performance. The last is defined based on a set of driving analytics (e.g. distance travelled, speed, accelerations, braking, cornering and smartphone usage) collected using an innovative data collection scheme, which is based on the continuous recording of driving behavior analytics in real time, using smartphone device sensors. Safety efficiency is examined in terms of speed limit violation, driving distraction, aggressiveness and safety on urban, rural and highway road and in an overall model. DEA models are identifying the most efficient drivers that lie on the efficiency frontier and act as peers for the rest of the non-efficient drivers. The proposed methodological framework is tested on data from fifty-six (56) drivers during a 7-months period. Findings help distinguish the most efficient drivers from those that are less efficient. Moreover, the efficient level of inputs and outputs to switch from non-efficiency to the efficiency frontier is identified. Results also provide a potential for classification of the driving sample based on drivers' comparative safety efficiency. The main characteristics of the most and less efficient drivers are consequently analyzed and presented. Most common inefficient driving practices are identified (aggressive, risky driving, etc.) and driving behavior is comparatively evaluated and analyzed.",10.1016/j.trc.2019.11.006
"Yan, Ying; Dai, Youhua; Li, Xiaodong; Tang, Jinjun; Guo, Zhongyin",Driving risk assessment using driving behavior data under continuous tunnel environment,"Objective: Driving behavior is the key feature for determining the nature of traffic stream qualities and reflecting the risk of operating environments. However, evaluating the driving risk accurately and practically in continuous tunnels (tunnels with a space more than 250 m and less than 1000 m) still faces severe challenges due to the complex driving conditions. The objective of this study is to predict the driving risk indicators and determine different risk levels. Methods: The naturalistic driving system equipped with a road environment and driving behavior data acquisition system combined with the fixed-point test method was used for data collection in 130 tunnels on four highways. A traditional AASHTO braking model and convex hull algorithm were adopted to predict the critical safety speed and the critical time headway of each risk feature point in tunnels. According to the risk constraints under free-flow, car-following and lane-changing conditions, the average traffic flow risk index (TFRI) representing six risk levels and the safety threshold of the corresponding risk indicators were determined. Results: The findings of this study revealed that the critical safety speed at nighttime is slower than in other daytime conditions in continuous tunnels. The time headway slightly changes under 90 km/h. As the speed continues to increase, speed has a significant influence on the critical time headway. The only reliable interaction involved the different adverse weather conditions on the mean critical safety speed in the continuous tunnels (short plus long) (F = 9.730, p0.05) and single long tunnels (F = 12.365, p0.05). Conclusions: It can be concluded that driving behaviors significantly vary in different tunnel risk feature points and the combined effect of high speed and luminance variation may result in high driving risk. The performance validation indicted that the risk assessment level determined by the proposed approach is consistent with the real safety situations. The study provides an effective and generally acceptable method for identifying driving risk criteria that can also be applied for traffic management and safety countermeasures with a view to possible implementation in continuous tunnels.",10.1080/15389588.2019.1675154
"van Nes, Nicole; Bargman, Jonas; Christoph, Michiel; van Schagen, Ingrid",The potential of naturalistic driving for in-depth understanding of driver behavior: UDRIVE results and beyond,"Within the UDRIVE project, a rich cross-European naturalistic driving database was created which includes everyday driving data on car and truck drivers and powered two-wheeler riders. The database provides extensive, reliable insights into driving behavior in real traffic as a foundation for improving the safety and sustainability of European road traffic. This paper discusses the characteristics of the data in the UDRIVE database elucidating key methodological choices and presenting a selection of results to date. A priority of the study design was obtaining in-depth information on driving behavior, permitting the exploration of diverse research questions. A tailor-made data acquisition system collected very comprehensive data. A total of 287 drivers/riders participated. The sample size restricts the addressable research topics to common behaviors in everyday driving and limits the generalizability of results. However, the data are extensive and promising analyses have already been performed. The results show differences between European countries for distracting activities, seatbelt use, and looking behavior towards cyclists at urban intersections. Moreover, it shows that European drivers engage less in mobile phone use than U.S. drivers. It is likely that European drivers differ in other ways, also-highlighting the dataset's value for developing and implementing targeted safety measures, for the E.U. and its individual countries. Based on the comparison of the different studies, the paper introduces the general conceptual framework for naturalistic driving studies, providing insight in the relation between the scope of a naturalistic driving study and the key methodological choices on sample selection and data acquisition system.",10.1016/j.ssci.2018.12.029
"Warren, Josh; Lipkowitz, Jeff; Sokolov, Vadim",Clusters of Driving Behavior From Observational Smartphone Data,"Understanding driving behaviors is essential for improving safety and mobility of our transportation systems. Data is usually collected via simulator-based studies or naturalistic driving studies. Those techniques allow for understanding relations between demographics, road conditions and safety. On the other hand, they are very costly and time consuming. Thanks to the ubiquity of smartphones, we have an opportunity to substantially complement more traditional data collection techniques with data extracted from phone sensors, such as GPS, accelerometer gyroscope and camera. We developed statistical models that provided insight into driver behavior in the San Francisco metro area based on tens of thousands of driver logs. We used novel data sources to support our work. We used cell phone sensor data drawn from five hundred drivers in San Francisco to understand the speed of traffic across the city as well as the maneuvers of drivers in different areas. Specifically, we clustered drivers based on their driving behavior. We looked at driver norms by street and flagged driving behaviors that deviated from the norm.",10.1109/MITS.2019.2919516
"Ekman, Fredrick; Johansson, Mikael; Bligard, Lars-Ola; Karlsson, MariAnne; Stromberg, Helena",Exploring automated vehicle driving styles as a source of trust information,"Trust is important for users' acceptance and adoption of automated vehicles (AVs). Previous research has mainly focused on what information affects user trust in AVs and how the user's trust is affected by the way the content is communicated. However, recent studies have shown that trust may also be affected by the AV's driving style. The aim of the study was to further investigate if and how the vehicle's driving style affects user trust in AVs and, in particular, how this is expressed by users. An experiment involving 18 participants, using a Wizard of Oz setup and within a subject design, was conducted comparing two different driving styles, 'Defensive' and 'Aggressive'. Trust was measured using a mixed method research design including momentaneous trust ratings and think-aloud procedures while driving, a post-run trust questionnaire as well as trust curve sketching and a personal interview. The results show that driving style had an effect on user trust and that the 'Defensive' driving style was perceived as more trustworthy, in part because it was deemed more predictable than the 'Aggressive' driving style. Furthermore, participants expressed trust in using affective, analogical and analytic responses, the two former during the test runs and the latter directly after each test run. The interview after the completion produced a more mixed result. By combining different data collection methods, a nuanced picture of the trust formation process and users' trust in AVs was obtained. The study concludes that it is important to consider the vehicle performance information provided by the vehicle's driving style so as to create user trust in AVs. (C) 2019 Elsevier Ltd. All rights reserved.",10.1016/j.trf.2019.07.026
"Adamos, Giannis; Nathanail, Eftihia",Testing the Effectiveness of Objective and Subjective Predictors of Driving Behavior under Fatigue,"There is growing evidence that driver fatigue is a major road safety problem, causing crashes that frequently involve fatalities and severe injuries. Professional drivers are among the road users indicated by literature to be at high risk of involvement in a fatigue-related crash. The goal of this paper is to investigate the effectiveness of objective and subjective data collection and analysis in predicting driving behavior under fatigue. Toward this goal, the impact of a fatigue-training program addressing professional drivers was assessed through a naturalistic study on data collected by trip recorders (Geographical Positioning System devices). Analysis of these data was supplemented with the collection of self-reported data obtained through a questionnaire survey to investigate potential threats, deficiencies, and bias of the approaches. Findings revealed that there is some correlation between the two approaches measuring driving behavior under fatigue. Focusing on self-reported data, it was indicated that the training program affected positively the direction of change in the behavior of the professional drivers, addressed by an increase in the proportion of drivers who stop and rest when tired. The naturalistic approach and the testing of potential differences before and after the training program with reference to speed and average stop time showed that the training program encouraged drivers to reduce their speed and increase the time that they stop and rest.",10.1177/0361198119843099
"Azar, Joseph; Makhoul, Abdallah; Barhamgi, Mahmoud; Couturier, Raphael",An energy efficient IoT data compression approach for edge machine learning,"Many IoT systems generate a huge and varied amount of data that need to be processed and responded to in a very short time. One of the major challenges is the high energy consumption due to the transmission of data to the cloud. Edge computing allows the workload to be offloaded from the cloud at a location closer to the source of data that need to be processed while saving time, improving privacy, and reducing network traffic. In this paper, we propose an energy efficient approach for IoT data collection and analysis. First of all, we apply a fast error-bounded lossy compressor on the collected data prior to transmission, that is considered to be the greatest consumer of energy in an IoT device. In a second phase, we rebuild the transmitted data on an edge node and process it using supervised machine learning techniques. To validate our approach, we consider the context of driving behavior monitoring in intelligent vehicle systems where vital signs data are collected from the driver using a Wireless Body Sensor Network (WBSN) and wearable devices and sent to an edge node for stress level detection. The experimentation results show that the amount of transmitted data has been reduced by up to 103 times without affecting the quality of medical data and driver stress level prediction accuracy. (C) 2019 Elsevier B.V. All rights reserved.",10.1016/j.future.2019.02.005
"Ding, Changhao; Liu, Mutian; Wang, Yi; Yan, Fuwu; Yan, Lirong",Behavior Evaluation Based on Electroencephalograph and Personality in a Simulated Driving Experiment,"Assessments and predictions of driving behavior are very important to improve traffic safety. We hypothesized that there were some patterns of driving behaviors, and these patterns had some correlation with cognitive states and personalities. To test this hypothesis, an evaluation of driving status, based on electroencephalography (EEG) and steering behavior in a simulated driving experiment, was designed and performed. Unity 3D was utilized to design the simulated driving scene. A photoelectric encoder fixed on the steering wheel and the corresponding data collection, transmission, and storage device was developed by Arduino, to acquire the rotation direction, angle, angular velocity, and angular acceleration of the steering wheel. Biopac MP 150 was utilized to collect the EEG data simultaneously during driving. A total of 23 subjects (mean age 23.6 +/- 1.3 years, driving years: 2.4 +/- 1.6 years, 21 males and two females) participated in this study. The Fuzzy C-means algorithm (FCMA) was utilized to extract patterns of driving behavior and the cognitive state within the window width of 20 s. The behaviors were divided into five kinds, i.e., negative, normal, alert, stress, and violent behavior, respectively, based on the standard deviation of steering wheel data. The cognitive states were divided into four kinds, i.e., negative, calm, alert, and tension, respectively, based on the EEG data. The correlation of these data, together with the personality traits evaluated using Cattell 16 Personality Factor Questionnaire (16PF) were analyzed using multiclass logistic regression. Results indicated the significance of the cognitive state and seven personality traits [apprehension (O), rule consciousness (G), reasoning (B), emotional stability (C), liveliness (F), vigilance (L), and perfectionism (Q3)] in predicting driving behaviors, and the prediction accuracy was 80.2%. The negative and alert cognitive states were highly correlated with dangerous driving, including negative and violent behaviors. Personality traits complicate the relationship with driving behaviors, which may vary across different types of subjects and traffic accidents.",10.3389/fpsyg.2019.01235
"Chen, Zhijun; Zhang, Yishi; Wu, Chaozhong; Ran, Bin",Understanding Individualization Driving States via Latent Dirichlet Allocation Model,"Automatic driving technology has become one of the hottest research topics of the Intelligent Transportation System (ITS) and Artificial Intelligence (AI) in the recent years. The development of automatic driving technology can be promoted through understanding driving states of each driver (individualization driving). Although some methods for driving states understanding are proposed by previous studies, the latent driving states and structured driving behaviors has not yet been automatically discovered. The purpose of this study is to develop an unsupervised method for deeply understanding the individualization driving. First, an encode method is proposed to extracted driving behavior from vehicle motion data. Then, Latent Dirichlet Allocation (LDA) model is innovatively developed to understand latent driving states and quantified structure of the driving behavior patterns (topics) from individualization driving (documents) using driving behaviors (words). In order to validate the performance and effectiveness of the proposed method, twenty-two drivers (15 males and 7 females) were recruited to carry out road experiments in Wuhan, China for experiments data collection. In addition, two typical unsupervised methods, including k-means and the random method are established and their performances are compared in our experiments. Experimental results verify the superiority of proposed method compared with other methods.",10.1109/MITS.2019.2903525
"Mekonnen, Tesfaye Hambisa; Tesfaye, Yitayew Ashagrie; Moges, Haimanot Gebrehiwot; Gebremedin, Resom Berhe","Factors associated with risky driving behaviors for road traffic crashes among professional car drivers in Bahirdar city, northwest Ethiopia, 2016: a cross-sectional study","BackgroundRoad traffic injury is one of the persistent public health challenges in most regions of the world, representing substantial human and economic losses. Annually, about 1.25 million lives are lost, whereas 50 million suffer from road traffic injuries globally. It has been shown that over 60% of the reasons for traffic injuries are a risky driving behavior (RDB). Despite the problem's pervasiveness, there is a paucity of information about level and factors influencing RDB among professional car drivers in Bahirdar city, northwest Ethiopia.MethodsAn institution-based cross-sectional study was conducted from February to March 2016. A systematic random sampling technique was used to select 376 participants. A self-administered driver behavior questionnaire (DBQ) was used for data collection. We performed a binary logistic regression analysis to investigate the associations of variables. Potential confounders were controlled using a multivariable logistic regression model. We ascertained the significance at <0.05 p value and evaluated strength of associations using crude odds ratios (COR) and adjusted odds ratios (AOR) with 95% confidence intervals (CI).ResultsA total of 361 drivers participated (response rate, 96%). The mean age was 34 (standard deviations 7.97) years. The majority, 98.9% (N=357), were males. The level of risky driving behavior and road traffic crashes were 79.4% (95% CI 75.92, 83.97) and 16.3% (95% CI 15.91, 24.84), respectively. Average monthly salary [AOR 2.04; 95% CI (1.23, 2.74)], driving experience [AOR 2.72; 95% CI (1.07, 6.89)], distance driven per year [AOR 2.06; 95% CI (1.13, 4.10)], and previous history of involvement in traffic crashes [AOR 2.30; 95% CI (1.15, 7.35)] were significantly associated with risky driving behavior.Conclusions The study shows that risky driving behavior is common among professional car drivers in the study setting. Therefore, it is strongly advisable for policy makers and other stake holders to devise strategies that consider working conditions, like monthly salary and driving experiences. The study also suggests that it is often advisable to reduce the distance driven per year and learn from implications of previous history of involvement in traffic crashes.",10.1186/s12199-019-0772-1
